Dates,Open,High,Low,Close,Volume
2019-07-14,861801.49998000,869103.73200000,766726.77300000,772128.69438000,72517.57923600
2019-07-15,772128.69438000,842390.10000000,748285.26000000,822561.29952000,81922.42633200
2019-07-16,822186.39798000,836925.94800000,709581.60891000,716379.92469000,97219.44341300
2019-07-17,715665.03147000,755646.68700000,687572.46000000,733708.11672000,84942.67271700
2019-07-18,733779.45426000,818712.10800000,702143.53200000,806505.79956000,80283.31025200
2019-07-19,806618.11824000,817324.06161000,768156.55944000,797181.07239000,56546.93213300
2019-07-20,797294.14998000,840036.72009000,785471.85000000,815086.79493000,47331.89984800
2019-07-21,815089.83057000,820981.24890000,780766.60800000,803643.94995000,38834.28793500
2019-07-22,803697.07365000,810755.69556000,766499.10000000,784736.46621000,40467.95483900
2019-07-23,784946.68428000,785014.22727000,745401.40200000,748657.88481000,47624.37071000
2019-07-24,748648.01898000,754128.86700000,722861.77500000,740945.08248000,43475.38037700
2019-07-25,740954.18940000,772190.92500000,737662.79673000,749793.21417000,37873.35472800
2019-07-26,749966.24565000,750560.47218000,731361.56700000,745553.18400000,27167.46321700
2019-07-27,745553.18400000,773227.59606000,708290.70300000,719182.57932000,43809.77830100
2019-07-28,719364.71772000,728173.38609000,695541.01500000,724117.01214000,29401.02293700
2019-07-29,724117.01214000,738343.53900000,712995.94500000,721544.30724000,29021.93741100
2019-07-30,721652.83137000,737226.42348000,713527.18200000,726596.37111000,32536.36883400
2019-07-31,726656.32500000,767242.83180000,725138.50500000,765021.50223000,39515.35456000
2019-08-01,765021.50223000,794416.36326000,748547.84286000,787368.36609000,41727.63702800
2019-08-02,787369.12500000,809756.97000000,780261.93285000,798657.91125000,42990.44422100
2019-08-03,798657.91125000,827573.90007000,796698.40563000,820902.32226000,33802.31882400
2019-08-04,820902.32226000,837836.64000000,800801.83200000,829430.19393000,39924.74514100
2019-08-05,829487.87109000,905950.33032000,829321.66980000,897699.46080000,65153.67371300
2019-08-06,897790.53000000,935789.15370000,852005.48970000,871356.93579000,76705.38987500
2019-08-07,871356.93579000,921405.53247000,863855.11044000,908797.00173000,69173.39035300
2019-08-08,908797.76064000,915245.46000000,874340.21100000,910674.54507000,51207.25717400
2019-08-09,910249.55547000,914158.70088000,887924.70000000,901584.32109000,39427.15258800
2019-08-10,901583.56218000,909553.63500000,855291.57000000,858274.84521000,42633.08704800
2019-08-11,858269.53284000,880335.60000000,843309.14001000,876538.77327000,26772.90691000
2019-08-12,875712.32028000,878657.64999000,852659.67012000,864859.90728000,17568.22707500
2019-08-13,865032.17985000,869419.43856000,818746.25895000,826658.65461000,33234.72968000
2019-08-14,826707.98376000,827020.65468000,753453.43710000,762732.62967000,54451.84749900
2019-08-15,763096.14756000,793819.86000000,752155.70100000,781216.64163000,38174.45112000
2019-08-16,781432.17207000,799589.85273000,739937.25000000,784070.90214000,51758.14291800
2019-08-17,784041.30465000,794209.93974000,758910.00000000,775303.97382000,29000.58120100
2019-08-18,775306.25055000,796855.50000000,764981.28000000,782191.84098000,24085.39517200
2019-08-19,782145.54747000,829488.63000000,778535.41260000,828391.24614000,37243.31921700
2019-08-20,828329.77443000,831003.41436000,801408.96000000,816625.86441000,32298.92167900
2019-08-21,816625.86441000,819936.22983000,748133.47800000,769729.77987000,47355.71928200
2019-08-22,769596.97062000,777275.62200000,740847.94200000,766489.99308000,34059.64273800
2019-08-23,766491.51090000,792681.49500000,760411.88289000,788473.33905000,27550.33617300
2019-08-24,788367.85056000,790740.20322000,750561.99000000,769105.95585000,27692.45684400
2019-08-25,769125.68751000,784181.70300000,751849.86027000,769738.88679000,26271.65739800
2019-08-26,769738.88679000,804748.16400000,769377.64563000,787160.42475000,41687.51159900
2019-08-27,787262.87760000,788589.45228000,762786.51228000,772953.62955000,28402.77538300
2019-08-28,773002.19979000,781601.40900000,728630.24991000,737736.41100000,42110.55537500
2019-08-29,737736.41100000,737964.08400000,707304.12000000,720846.11004000,35532.69491000
2019-08-30,720889.36791000,735839.13600000,709611.96531000,727380.32514000,26834.31810400
2019-08-31,727245.23916000,734967.14841000,714950.13825000,727602.68577000,17130.29007400
2019-09-01,727699.06734000,746008.53000000,722482.32000000,738038.45718000,19545.40484300
2019-09-02,737932.96869000,793060.95000000,737091.33750000,784712.94000000,44740.24809300
2019-09-03,784712.94000000,817573.74300000,779552.35200000,805604.21448000,47998.37678100
2019-09-04,805343.90835000,819546.90900000,786981.32199000,801941.71482000,43943.88902600
2019-09-05,801858.23472000,827211.90000000,793060.95000000,801749.71059000,33970.96063900
2019-09-06,801646.49883000,827657.38017000,770293.65000000,781580.91843000,58799.64095900
2019-09-07,781579.40061000,801257.17800000,780809.86587000,793507.18908000,27637.87739200
2019-09-08,793508.70690000,803875.41750000,774695.32800000,787838.13138000,23984.67201800
2019-09-09,787842.68484000,795337.68000000,764108.53350000,781914.07992000,39835.72760800
2019-09-10,781873.09878000,788127.27609000,755343.12300000,766358.70165000,28915.41222500
2019-09-11,766361.73729000,781146.06300000,749803.08000000,770925.82203000,31953.82456200
2019-09-12,770957.69625000,792970.63971000,761945.64000000,790405.52391000,34511.16275500
2019-09-13,790405.52391000,792226.14900000,770521.32300000,784869.27546000,30280.33977600
2019-09-14,785026.36983000,790783.46109000,775782.84603000,784335.00282000,23621.53351900
2019-09-15,784167.28371000,786230.76000000,778045.91565000,781829.84091000,18047.65401300
2019-09-16,781930.77594000,785851.30500000,764829.49800000,777982.16721000,28971.40165700
2019-09-17,777858.46488000,779780.02500000,768624.80691000,773163.84762000,22914.32456300
2019-09-18,773138.04468000,778491.39582000,766499.10000000,770824.12809000,24250.24930300
2019-09-19,770780.11131000,783574.57500000,732575.82300000,777449.41239000,44826.28257900
2019-09-20,777404.63670000,780235.37100000,763568.94849000,771704.46369000,25088.49106900
2019-09-21,771653.61672000,772319.93970000,751320.90000000,757877.12349000,20544.17519600
2019-09-22,757783.01865000,765664.29900000,747827.63727000,761100.97317000,22049.27525600
2019-09-23,761038.74255000,762703.79109000,729750.40107000,736313.45475000,31937.23235600
2019-09-24,736309.66020000,743351.58609000,591949.80000000,644552.88774000,94007.34520300
2019-09-25,644887.56705000,662528.43000000,623493.13524000,639764.92455000,60783.89225800
2019-09-26,639764.92455000,642492.44709000,588155.25000000,611964.53343000,67930.85374900
2019-09-27,611946.31959000,627239.11500000,595907.51565000,620629.76781000,43882.92462500
2019-09-28,620596.37577000,631033.66500000,607210.72119000,622215.88971000,34473.60516500
2019-09-29,622259.14758000,624516.90483000,598779.99000000,610453.54362000,31544.21138800
2019-09-30,610394.34864000,632722.99866000,585119.61000000,629086.30194000,55865.48726000
2019-10-01,629134.11327000,645073.50000000,620260.93755000,629321.56404000,43472.41809100
2019-10-02,629339.01897000,635504.40381000,618604.23702000,634444.20654000,26243.38664400
2019-10-03,634448.76000000,636953.16300000,611681.46000000,624124.54836000,30488.28405800
2019-10-04,624160.21713000,624765.82731000,607507.45500000,617534.93283000,26476.33040400
2019-10-05,617531.89719000,621047.16831000,608113.06518000,616704.68529000,21907.61556400
2019-10-06,616807.89705000,618805.34817000,590811.43500000,596066.88675000,34676.10404900
2019-10-07,596146.57230000,629889.22872000,589065.94200000,621554.12019000,52202.07229700
2019-10-08,621609.52062000,631792.57500000,613863.32625000,619907.28549000,35452.65742300
2019-10-09,620089.42389000,657974.97000000,615855.46500000,649683.11934000,55038.70437800
2019-10-10,649790.12565000,656001.80400000,638586.33732000,649477.45473000,39137.94616700
2019-10-11,649461.51762000,666285.79341000,623245.73058000,626745.82350000,50405.28441800
2019-10-12,626704.08345000,637484.40000000,626100.75000000,629902.13019000,21339.33409800
2019-10-13,630045.56418000,641382.92067000,619270.56000000,627998.78391000,27840.73995300
